ASC_Name,Provider_ID,NPI,City,State,ZIP_Code,ASC6_SSChecklist,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Nervous_System,ASC_7_Musculoskeletal,ASC_7_Skin,ASC_7_Genitourinary,ASC7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date
"Awh Holdings, LLC",02C0001000,1033395603,Anchorage,AK,99508,YES,917,427,0,228,1,2,259,,01/01/2012,12/31/2012
"Alaska Spine Center, LLC",02C0001006,1093710717,Anchorage,AK,99508,YES,2932,0,0,2928,4,0,0,,01/01/2012,12/31/2012
Alaska Surgery Center,02C0001001,1205892197,Anchorage,AK,99508,YES,11322,1420,769,1703,5691,1383,356,,01/01/2012,12/31/2012
"Surgery Center of Fairbanks, LLC",02C0001012,1255652285,Fairbanks,AK,99709,YES,950,570,2,115,238,2,23,,01/01/2012,12/31/2012
Alaska Spine Institute Surgery Center,02C0001008,1316942048,Anchorage,AK,99508,YES,1621,0,0,1595,26,0,0,,01/01/2012,12/31/2012
South Anchorage Surgery Center,02C0001014,1336448968,Anchorage,AK,99507,YES,1424,0,0,1327,97,0,0,,01/01/2012,12/31/2012
Alaska Digestive Center,02C0001007,1508835299,Anchorage,AK,99508,YES,4371,4371,0,0,0,0,0,,01/01/2012,12/31/2012
"Pacific Cataract and Laser Institute, Inc.",02C0001004,1548213077,Anchorage,AK,99501,YES,1440,0,1440,0,0,0,0,,01/01/2012,12/31/2012
"Geneva Woods Surgical Center, Inc.",02C0001002,1699875450,Anchorage,AK,99508,YES,108,1,15,0,1,91,0,,01/01/2012,12/31/2012
"Providence Surgery Center, LLC",02C0001011,1710207998,Anchorage,AK,99508,YES,3582,170,23,837,2327,225,0,,01/01/2012,12/31/2012
"Anchorage Endoscopy Center, LLC",02C0001005,1770605214,Anchorage,AK,99508,YES,4254,4254,0,0,0,0,0,,01/01/2012,12/31/2012
Dothan Surgery Center,01C0001039,1003815242,Dothan,AL,36301,YES,18799,16037,593,920,1116,133,0,,01/01/2012,12/31/2012
"Trinity Development, LLC",01C0001037,1013924133,Enterprise,AL,36330,YES,2823,302,264,1798,455,4,0,,01/01/2012,12/31/2012
"North River Surgical Center, LLC",01C0001029,1215926993,Tuscaloosa,AL,35406,YES,3218,3131,0,0,84,3,0,,01/01/2012,12/31/2012
Eye Surgery Center of North Alabama,01C0001050,1265657258,Huntsville,AL,35801,YES,1922,0,1922,0,0,0,0,,01/01/2012,12/31/2012
Outpatient Carecenter,01C0001008,1285690073,Birmingham,AL,35233,YES,18077,368,4864,8809,2265,592,1179,,01/01/2012,12/31/2012
Northeast Alabama Eye Surgery Center,01C0001040,1306877261,Gadsden,AL,35901,YES,4206,0,4206,0,0,0,0,,01/01/2012,12/31/2012
Jackson Surgery Center,01C0001053,1336375930,Montgomery,AL,36106,YES,9457,7254,6,239,1728,178,52,,01/01/2012,12/31/2012
