PROVIDER_ID,Hospital_Name,Hospital_Type,Address,City,State,ZIP_Code,County_Name,MEASURE_ID,MEASURE_DESCRIPTION,NUMERATOR,DENOMINATOR,FOOTNOTE,RPTG_PRD_START_DT,RPTG_PRD_END_DT
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","PCH-1","Adjuvant Chemotherapy for Stage III Colon Cancer","Not Available","Not Available","1","01-JUL-13","30-JUN-14"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","PCH-2","Combination Chemotherapy for AJCC T1c or Stage II or III Hormone Receptor-Negative Breast Cancer","29","32","","01-JUL-13","30-JUN-14"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","PCH-3","Hormone Therapy for AJCC T1c or Stage II or III Hormone Receptor-Positive Breast Cancer","251","258","","01-JAN-13","31-DEC-13"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES"," CA","90089","LOS ANGELES","PCH-1","Adjuvant Chemotherapy for Stage III Colon Cancer","Not Available","Not Available","1","01-JUL-13","30-JUN-14"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES"," CA","90089","LOS ANGELES","PCH-2","Combination Chemotherapy for AJCC T1c or Stage II or III Hormone Receptor-Negative Breast Cancer","Not Available","Not Available","1","01-JUL-13","30-JUN-14"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES"," CA","90089","LOS ANGELES","PCH-3","Hormone Therapy for AJCC T1c or Stage II or III Hormone Receptor-Positive Breast Cancer","43","44","","01-JAN-13","31-DEC-13"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI"," FL","33136","DADE","PCH-1","Adjuvant Chemotherapy for Stage III Colon Cancer","16","16","","01-JUL-13","30-JUN-14"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI"," FL","33136","DADE","PCH-2","Combination Chemotherapy for AJCC T1c or Stage II or III Hormone Receptor-Negative Breast Cancer","28","28","","01-JUL-13","30-JUN-14"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI"," FL","33136","DADE","PCH-3","Hormone Therapy for AJCC T1c or Stage II or III Hormone Receptor-Positive Breast Cancer","106","107","","01-JAN-13","31-DEC-13"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA"," FL","33612","HILLSBOROUGH","PCH-1","Adjuvant Chemotherapy for Stage III Colon Cancer","23","24","","01-JUL-13","30-JUN-14"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA"," FL","33612","HILLSBOROUGH","PCH-2","Combination Chemotherapy for AJCC T1c or Stage II or III Hormone Receptor-Negative Breast Cancer","42","45","","01-JUL-13","30-JUN-14"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA"," FL","33612","HILLSBOROUGH","PCH-3","Hormone Therapy for AJCC T1c or Stage II or III Hormone Receptor-Positive Breast Cancer","349","359","","01-JAN-13","31-DEC-13"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON"," MA","02115","SUFFOLK","PCH-1","Adjuvant Chemotherapy for Stage III Colon Cancer","47","48","","01-JUL-13","30-JUN-14"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON"," MA","02115","SUFFOLK","PCH-2","Combination Chemotherapy for AJCC T1c or Stage II or III Hormone Receptor-Negative Breast Cancer","72","79","","01-JUL-13","30-JUN-14"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON"," MA","02115","SUFFOLK","PCH-3","Hormone Therapy for AJCC T1c or Stage II or III Hormone Receptor-Positive Breast Cancer","588","601","","01-JAN-13","31-DEC-13"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK"," NY","10021","NEW YORK","PCH-1","Adjuvant Chemotherapy for Stage III Colon Cancer","95","103","","01-JUL-13","30-JUN-14"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK"," NY","10021","NEW YORK","PCH-2","Combination Chemotherapy for AJCC T1c or Stage II or III Hormone Receptor-Negative Breast Cancer","179","183","","01-JUL-13","30-JUN-14"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK"," NY","10021","NEW YORK","PCH-3","Hormone Therapy for AJCC T1c or Stage II or III Hormone Receptor-Positive Breast Cancer","1027","1046","","01-JAN-13","31-DEC-13"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO"," NY","14203","ERIE","PCH-1","Adjuvant Chemotherapy for Stage III Colon Cancer","Not Available","Not Available","1","01-JUL-13","30-JUN-14"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO"," NY","14203","ERIE","PCH-2","Combination Chemotherapy for AJCC T1c or Stage II or III Hormone Receptor-Negative Breast Cancer","27","29","","01-JUL-13","30-JUN-14"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO"," NY","14203","ERIE","PCH-3","Hormone Therapy for AJCC T1c or Stage II or III Hormone Receptor-Positive Breast Cancer","115","122","","01-JAN-13","31-DEC-13"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","300 WEST TENTH AVENUE","COLUMBUS"," OH","43210","FRANKLIN","PCH-1","Adjuvant Chemotherapy for Stage III Colon Cancer","19","19","","01-JUL-13","30-JUN-14"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","300 WEST TENTH AVENUE","COLUMBUS"," OH","43210","FRANKLIN","PCH-2","Combination Chemotherapy for AJCC T1c or Stage II or III Hormone Receptor-Negative Breast Cancer","55","58","","01-JUL-13","30-JUN-14"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","300 WEST TENTH AVENUE","COLUMBUS"," OH","43210","FRANKLIN","PCH-3","Hormone Therapy for AJCC T1c or Stage II or III Hormone Receptor-Positive Breast Cancer","246","261","","01-JAN-13","31-DEC-13"
