"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.542","","01/01/2014","12/31/2014"
"AL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.596","","01/01/2014","12/31/2014"
"AR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.513","","01/01/2014","12/31/2014"
"AS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"AZ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.467","","01/01/2014","12/31/2014"
"CA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.437","","01/01/2014","12/31/2014"
"CO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.409","","01/01/2014","12/31/2014"
"CT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.420","","01/01/2014","12/31/2014"
"DC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.456","","01/01/2014","12/31/2014"
"DE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.362","","01/01/2014","12/31/2014"
"FL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.505","","01/01/2014","12/31/2014"
"GA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.574","","01/01/2014","12/31/2014"
"GU","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"HI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.226","","01/01/2014","12/31/2014"
"IA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.411","","01/01/2014","12/31/2014"
"ID","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.287","","01/01/2014","12/31/2014"
"IL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.447","","01/01/2014","12/31/2014"
"IN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.550","","01/01/2014","12/31/2014"
"KS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.437","","01/01/2014","12/31/2014"
"KY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.512","","01/01/2014","12/31/2014"
"LA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.596","","01/01/2014","12/31/2014"
"MA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.399","","01/01/2014","12/31/2014"
"MD","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.492","","01/01/2014","12/31/2014"
"ME","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.845","","01/01/2014","12/31/2014"
"MI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.359","","01/01/2014","12/31/2014"
"MN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.381","","01/01/2014","12/31/2014"
"MO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.346","","01/01/2014","12/31/2014"
"MP","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"MS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.724","","01/01/2014","12/31/2014"
"MT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.687","","01/01/2014","12/31/2014"
"NC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.384","","01/01/2014","12/31/2014"
"ND","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.398","","01/01/2014","12/31/2014"
"NE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.561","","01/01/2014","12/31/2014"
"NH","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.631","","01/01/2014","12/31/2014"
"NJ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.588","","01/01/2014","12/31/2014"
"NM","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.641","","01/01/2014","12/31/2014"
"NV","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.476","","01/01/2014","12/31/2014"
"NY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.417","","01/01/2014","12/31/2014"
"OH","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.374","","01/01/2014","12/31/2014"
"OK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.394","","01/01/2014","12/31/2014"
"OR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.316","","01/01/2014","12/31/2014"
"PA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.404","","01/01/2014","12/31/2014"
"PR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.562","","01/01/2014","12/31/2014"
"RI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.497","","01/01/2014","12/31/2014"
"SC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.490","","01/01/2014","12/31/2014"
"SD","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.263","","01/01/2014","12/31/2014"
"TN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.457","","01/01/2014","12/31/2014"
"TX","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.455","","01/01/2014","12/31/2014"
"UT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.387","","01/01/2014","12/31/2014"
"VA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.333","","01/01/2014","12/31/2014"
