"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2014","12/31/2014"
"AL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.97","","01/01/2014","12/31/2014"
"AR","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.98","","01/01/2014","12/31/2014"
"AS","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2014","12/31/2014"
"AZ","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.94","","01/01/2014","12/31/2014"
"CA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","","01/01/2014","12/31/2014"
"CO","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.95","","01/01/2014","12/31/2014"
"CT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.00","","01/01/2014","12/31/2014"
"DC","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2014","12/31/2014"
"DE","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2014","12/31/2014"
"FL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.03","","01/01/2014","12/31/2014"
"GA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.95","","01/01/2014","12/31/2014"
"GU","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2014","12/31/2014"
"HI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.88","","01/01/2014","12/31/2014"
"IA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.92","","01/01/2014","12/31/2014"
"ID","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.94","","01/01/2014","12/31/2014"
"IL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.00","","01/01/2014","12/31/2014"
"IN","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2014","12/31/2014"
"KS","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","","01/01/2014","12/31/2014"
"KY","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.97","","01/01/2014","12/31/2014"
"LA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.05","","01/01/2014","12/31/2014"
"MA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2014","12/31/2014"
"MD","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2014","12/31/2014"
"ME","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2014","12/31/2014"
"MI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.98","","01/01/2014","12/31/2014"
"MN","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.89","","01/01/2014","12/31/2014"
"MO","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2014","12/31/2014"
"MP","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2014","12/31/2014"
"MS","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2014","12/31/2014"
"MT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.89","","01/01/2014","12/31/2014"
"NC","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.94","","01/01/2014","12/31/2014"
"ND","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.87","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2014","12/31/2014"
"NE","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2014","12/31/2014"
