"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","146","","01/01/2014","12/31/2014"
"AL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","64","","01/01/2014","12/31/2014"
"AR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","59","","01/01/2014","12/31/2014"
"AS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"AZ","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","01/01/2014","12/31/2014"
"CA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","64","","01/01/2014","12/31/2014"
"CO","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","01/01/2014","12/31/2014"
"CT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","59","","01/01/2014","12/31/2014"
"DC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","132","","01/01/2014","12/31/2014"
"DE","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","67","","01/01/2014","12/31/2014"
"FL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","01/01/2014","12/31/2014"
"GA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","67","","01/01/2014","12/31/2014"
"GU","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"HI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","72","","01/01/2014","12/31/2014"
"IA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","62","","01/01/2014","12/31/2014"
"ID","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","75","","01/01/2014","12/31/2014"
"IL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","01/01/2014","12/31/2014"
"IN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","44","","01/01/2014","12/31/2014"
"KS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","69","","01/01/2014","12/31/2014"
"KY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","56","","01/01/2014","12/31/2014"
"LA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","90","","01/01/2014","12/31/2014"
"MA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","01/01/2014","12/31/2014"
"MD","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","71","","01/01/2014","12/31/2014"
"ME","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","34","","01/01/2014","12/31/2014"
"MI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","49","","01/01/2014","12/31/2014"
"MN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","01/01/2014","12/31/2014"
"MO","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","60","","01/01/2014","12/31/2014"
"MP","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"MS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","68","","01/01/2014","12/31/2014"
"MT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","116","","01/01/2014","12/31/2014"
"NC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","46","","01/01/2014","12/31/2014"
"ND","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","138","","01/01/2014","12/31/2014"
"NE","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","79","","01/01/2014","12/31/2014"
"NH","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","46","","01/01/2014","12/31/2014"
"NJ","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","72","","01/01/2014","12/31/2014"
"NM","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","147","","01/01/2014","12/31/2014"
"NV","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","60","","01/01/2014","12/31/2014"
"NY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","76","","01/01/2014","12/31/2014"
"OH","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","56","","01/01/2014","12/31/2014"
"OK","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","69","","01/01/2014","12/31/2014"
"OR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","49","","01/01/2014","12/31/2014"
"PA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","65","","01/01/2014","12/31/2014"
"PR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"RI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","64","","01/01/2014","12/31/2014"
"SC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","50","","01/01/2014","12/31/2014"
"SD","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","75","","01/01/2014","12/31/2014"
"TN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","53","","01/01/2014","12/31/2014"
"TX","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","63","","01/01/2014","12/31/2014"
"UT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","37","","01/01/2014","12/31/2014"
"VA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","58","","01/01/2014","12/31/2014"
"VI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"VT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","101","","01/01/2014","12/31/2014"
"WA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","01/01/2014","12/31/2014"
"WI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","53","","01/01/2014","12/31/2014"
"WV","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","87","","01/01/2014","12/31/2014"
"WY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","133","","01/01/2014","12/31/2014"
"AK","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"AL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"AR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"AS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"AZ","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"CA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"CO","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"CT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"DC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","17","","01/01/2014","12/31/2014"
"DE","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"FL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"GA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"GU","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"HI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"IA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"ID","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"IL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"IN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","5","","01/01/2014","12/31/2014"
"KS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"KY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"LA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","01/01/2014","12/31/2014"
"MA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"MD","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"ME","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"MI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"MN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"MO","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"MP","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"MS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"MT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","01/01/2014","12/31/2014"
"NC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"ND","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"NE","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"NH","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"NJ","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"NM","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"NV","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"NY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"OH","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"OK","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"OR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"PA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"PR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"RI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"SC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"SD","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"TN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"TX","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"UT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"VA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"VI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"VT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"WA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","01/01/2014","12/31/2014"
"WI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","01/01/2014","12/31/2014"
"WV","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","01/01/2014","12/31/2014"
"WY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","01/01/2014","12/31/2014"
"AK","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","64","","01/01/2014","12/31/2014"
"AL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","72","","01/01/2014","12/31/2014"
"AR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","62","","01/01/2014","12/31/2014"
"AS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"AZ","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","48","","01/01/2014","12/31/2014"
"CA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","66","","01/01/2014","12/31/2014"
"CO","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","44","","01/01/2014","12/31/2014"
"CT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","62","","01/01/2014","12/31/2014"
"DC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","0","","01/01/2014","12/31/2014"
"DE","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"FL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","29","","01/01/2014","12/31/2014"
"GA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","58","","01/01/2014","12/31/2014"
"GU","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"HI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","64","","01/01/2014","12/31/2014"
"IA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","55","","01/01/2014","12/31/2014"
"ID","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","60","","01/01/2014","12/31/2014"
"IL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","56","","01/01/2014","12/31/2014"
"IN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","39","","01/01/2014","12/31/2014"
"KS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","37","","01/01/2014","12/31/2014"
"KY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","76","","01/01/2014","12/31/2014"
"LA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","44","","01/01/2014","12/31/2014"
"MA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","69","","01/01/2014","12/31/2014"
"MD","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","21","","01/01/2014","12/31/2014"
"ME","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","85","","01/01/2014","12/31/2014"
"MI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","61","","01/01/2014","12/31/2014"
"MN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","48","","01/01/2014","12/31/2014"
"MO","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","52","","01/01/2014","12/31/2014"
"MP","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"MS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","50","","01/01/2014","12/31/2014"
"MT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","46","","01/01/2014","12/31/2014"
"NC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","64","","01/01/2014","12/31/2014"
"ND","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","47","","01/01/2014","12/31/2014"
"NE","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","57","","01/01/2014","12/31/2014"
"NH","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","75","","01/01/2014","12/31/2014"
"NJ","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","72","","01/01/2014","12/31/2014"
"NM","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","53","","01/01/2014","12/31/2014"
"NV","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","36","","01/01/2014","12/31/2014"
"NY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","57","","01/01/2014","12/31/2014"
"OH","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","46","","01/01/2014","12/31/2014"
"OK","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","54","","01/01/2014","12/31/2014"
"OR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","57","","01/01/2014","12/31/2014"
"PA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","48","","01/01/2014","12/31/2014"
"PR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"RI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"SC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","68","","01/01/2014","12/31/2014"
